Территория,Год,median,q10,q90,q2_5,q97_5,Статус
Новосибирская область,2029,1.4699542570118505,1.2138090116533276,1.7282010039356406,1.0776576755725502,1.864352340016418,прогноз
Новосибирская область,2030,1.4749445411075846,1.2059736599911206,1.7477782005278066,1.0625666606686743,1.891185199850253,прогноз
Новосибирская область,2031,1.478630902991144,1.201534751906152,1.7608909012795708,1.0534821223457906,1.9089435308399323,прогноз
Новосибирская область,2032,1.4813075976564887,1.1988047444296863,1.7699190138508265,1.0476399284855662,1.9210838297949466,прогноз
Новосибирская область,2033,1.4832572797457682,1.1969775515699785,1.7763336939793803,1.0436312436197697,1.9296800019295892,прогноз
Новосибирская область,2034,1.4846908527286689,1.1956543135870739,1.7810300448632117,1.0407147167071,1.9359696417431855,прогноз
Новосибирская область,2035,1.485753204680581,1.1946257665142113,1.7845582435876268,1.0384800718765195,1.9407039382253186,прогноз
Новосибирская область,2036,1.4865567931988992,1.1937930202733968,1.787281786342129,1.0367060327978181,1.9443687738177078,прогноз
Новосибирская область,2037,1.487168844422042,1.1930891621381028,1.7894257650024643,1.0352483977949165,1.9472665293456506,прогноз
Новосибирская область,2038,1.4873630951010808,1.1924794239514562,1.7911469919722576,1.034021690399634,1.9496047255240798,прогноз
Новосибирская область,2039,1.486602121590014,1.1919471340428816,1.79255816864115,1.0329749959608172,1.9515303067232144,прогноз
Новосибирская область,2040,1.4857339210382385,1.191468670355024,1.7937258570622312,1.03206082212897,1.9531337052882851,прогноз
Новосибирская область,2041,1.4847910651702863,1.1910411040384692,1.7947118527596544,1.0312591085478318,1.9544938482502918,прогноз
Новосибирская область,2042,1.4837910151034213,1.190655022314803,1.7955538432063123,1.0305479757555216,1.9556608897655936,прогноз
Новосибирская область,2043,1.4827445817175715,1.1902999594625874,1.7962768555000663,1.0299075636488046,1.956669251313849,прогноз
Новосибирская область,2044,1.4816675634120031,1.1899799572069558,1.79691191739038,1.029334771183636,1.9575571034136998,прогноз
Новосибирская область,2045,1.4805624272035909,1.1896833768722042,1.7974681447974676,1.0288124662746037,1.9583390553950681,прогноз
Новосибирская область,2046,1.4794367068494148,1.1894100010557014,1.7979619435983434,1.0283360316027326,1.9590359130513122,прогноз
Новосибирская область,2047,1.4788920834099728,1.1891609317306726,1.7984073967452054,1.0279031332836586,1.9596651951922195,прогноз
Новосибирская область,2048,1.478932544679441,1.1889256314355987,1.7988045421181522,1.0275004347320187,1.9602297388217322,прогноз
Новосибирская область,2049,1.478969779519167,1.1887105405425664,1.7991685723700888,1.0271320597311018,1.9607470531815534,прогноз
Новосибирская область,2050,1.4790027342027419,1.1885100872690244,1.7995008443779303,1.026790602592973,1.9612203290539818,прогноз
Новосибирская область,2051,1.479030842498489,1.1883201172861302,1.7998032475438133,1.0264703093098286,1.9616530555201148,прогноз
Новосибирская область,2052,1.4790585930072155,1.1881471411164974,1.8000872257483516,1.0261763846232967,1.9620579822415523,прогноз
Новосибирская область,2053,1.4790821040174067,1.1879813581793357,1.8003470527262784,1.0258979495464093,1.9624304613592047,прогноз
Новосибирская область,2054,1.479104197762603,1.1878265475347989,1.8005902383516001,1.0256377956525422,1.9627789902338568,прогноз
Новосибирская область,2055,1.4791260059128382,1.1876835259225265,1.800820492564813,1.0253959738973262,1.9631080445900133,прогноз
Новосибирская область,2056,1.4791441530926641,1.1875442125020148,1.8010323947046294,1.0251636993333513,1.963412907873293,прогноз
Новосибирская область,2057,1.479163310366336,1.1874167725908509,1.8012364637104799,1.0249485143121324,1.9637047219891983,прогноз
Новосибирская область,2058,1.479180772316585,1.1872948947738273,1.8014281893285002,1.0247436306798525,1.963979453422475,прогноз
Новосибирская область,2059,1.4791964108223388,1.1871773826817877,1.801608255443555,1.0245473543941777,1.9642382837311652,прогноз
Новосибирская область,2060,1.4792136131588351,1.1870702859463989,1.801784161524929,1.0243653513379383,1.9644890961333896,прогноз
Новосибирская область,2061,1.4792279875102259,1.1869641890430134,1.801947755833878,1.0241878714825638,1.9647240733943274,прогноз
Новосибирская область,2062,1.479242875932547,1.1868651081020785,1.8021063904640968,1.0240205773503896,1.9649509212157856,прогноз
Новосибирская область,2063,1.4792581094487796,1.1867722630717217,1.8022601695593834,1.0238624548570867,1.9651699777740184,прогноз
Новосибирская область,2064,1.4792708257627567,1.186679425423223,1.8024038724637912,1.0237070087061253,1.9653762891808888,прогноз
Новосибирская область,2065,1.479285565636032,1.1865952351582345,1.8025470222218807,1.023562645171819,1.9655796122082962,прогноз
Новосибирская область,2066,1.4792987458434914,1.1865122283736746,1.8026827498362779,1.023421742889056,1.9657732353208965,прогноз
Новосибирская область,2067,1.479311192627224,1.1864316370328054,1.8028131283120774,1.0232853112107725,1.9659594541341103,прогноз
Новосибирская область,2068,1.4793254045464805,1.186358204405,1.8029434086169098,1.0231579590267306,1.9661436539951793,прогноз
Новосибирская область,2069,1.479337031236349,1.1862829718823407,1.8030651478990425,1.023030591216596,1.9663175285647871,прогноз
Новосибирская область,2070,1.4793499980409068,1.1862134726829492,1.803186514316665,1.0229105729400059,1.9664894140596083,прогноз
Новосибирская область,2071,1.479363015617902,1.1861469905265694,1.8033050667810262,1.0227951150779133,1.9666569422296822,прогноз
Новосибирская область,2072,1.479374105825569,1.1860793082966445,1.8034171098416185,1.0226798624370985,1.9668165557011645,прогноз
Новосибирская область,2073,1.4793874928910453,1.186018684086235,1.8035312823139336,1.0225729723394812,1.9669769940606874,прогноз
Новосибирская область,2074,1.479399067816827,1.1859567921331893,1.8036394739701058,1.0224660619744308,1.9671302041288643,прогноз
Новосибирская область,2075,1.4794106163647407,1.185896961755794,1.8037454985391557,1.0223623324444575,1.967280127850492,прогноз
Новосибирская область,2076,1.4794236904657385,1.1858422175549908,1.803852539143951,1.0222647663922835,1.9674299903066583,прогноз
Новосибирская область,2077,1.4794342804855638,1.1857844034482876,1.8039527133299549,1.022165135310472,1.9675719814677706,прогноз
Новосибирская область,2078,1.4794466957348527,1.1857319614818334,1.804054816293565,1.0220717877719476,1.9677149900034507,прогноз
Новосибирская область,2079,1.4794587002430553,1.1856803953195223,1.8041544004886856,1.021980214526668,1.9678545812815398,прогноз
Новосибирская область,2080,1.479469259521756,1.1856274630689838,1.8042495698540275,1.0218880821463059,1.9679889507767054,прогноз
Новосибирская область,2081,1.479482148581019,1.1855806364161674,1.8043479527438955,1.021802820849201,1.968125768310862,прогноз
Новосибирская область,2082,1.4794929174943543,1.1855309736938415,1.8044406911195634,1.021715466832994,1.968256197980411,прогноз
Новосибирская область,2083,1.4795042815955224,1.1854837397707847,1.8045333814472917,1.0216311971979115,1.9683859240201649,прогноз
Новосибирская область,2084,1.4795167478155786,1.185439949574005,1.804627036524297,1.021551027434683,1.9685159586636187,прогноз
Новосибирская область,2085,1.4795268787018376,1.1853926317219226,1.8047148779214153,1.02146793509031,1.9686395745530278,прогноз
Новосибирская область,2086,1.479539193199571,1.1853507203358302,1.8048060472984409,1.0213907993539615,1.9687659682803096,прогноз
Новосибирская область,2087,1.4795505503591946,1.185307954678271,1.8048942415944946,1.0213133706905138,1.9688888255822519,прогноз
Новосибирская область,2088,1.4795610195961508,1.1852643355667707,1.8049797376538195,1.0212355768576338,1.9690084963629564,прогноз
Новосибирская область,2089,1.4795736347619126,1.1852259144605453,1.805068619423092,1.0211634607156261,1.9691310731680112,прогноз
Новосибирская область,2090,1.4795839260970074,1.1851837296883052,1.8051519695357117,1.0210880488664587,1.9692476503575582,прогноз
Новосибирская область,2091,1.4795953643735333,1.1851446001014327,1.805236852228688,1.0210160952118614,1.9693653571182592,прогноз
Новосибирская область,2092,1.4796073831614838,1.1851074332056852,1.8053220942762371,1.0209465286259396,1.9694829988559828,прогноз
Новосибирская область,2093,1.479617335749222,1.185066849113245,1.80540248871963,1.0208739234493107,1.9695954143835643,прогноз
Новосибирская область,2094,1.4796296520319236,1.1850316523028261,1.8054869506608557,1.020807054880477,1.9697115480832048,прогноз
Новосибирская область,2095,1.479640535976563,1.1849942854248274,1.8055678533174118,1.0207383839476158,1.9698237547946233,прогноз
Новосибирская область,2096,1.479651082958814,1.1849568210421293,1.8056475056291144,1.0206699206484118,1.9699344060228319,прогноз
Новосибирская область,2097,1.4796634952331555,1.1849236835616135,1.805730292206996,1.020606099923072,1.9700478758455375,прогноз
Новосибирская область,2098,1.479673480941976,1.1848862684902184,1.805807650113673,1.020538306279411,1.9701556123244806,прогноз
Новосибирская область,2099,1.479685083038945,1.184852568709708,1.8058877582820587,1.0204744833544284,1.9702658436373384,прогноз
Новосибирская область,2100,1.4796967158770382,1.1848194728532364,1.8059673854909033,1.020411551504823,1.9703753068393166,прогноз
Омская область,1990,1.9852180914129736,1.9360696232593029,2.036914121241811,1.909377696979902,2.0636060475212123,наблюдение
Омская область,1991,1.8528151929400711,1.8028050497102943,1.896407168972226,1.7780300652845844,1.9211821533979359,наблюдение
Омская область,1992,1.676859616185262,1.6295979506440395,1.7223070286154005,1.6050593399696917,1.7468456392897482,наблюдение
Омская область,1993,1.5246275329721413,1.4846225852529829,1.5772069040932317,1.4601169963259486,1.601712493020266,наблюдение
Омская область,1994,1.4483891916856826,1.3990628213078964,1.4914999826584159,1.3745961826155888,1.5159666213507235,наблюдение
Омская область,1995,1.4008273994177294,1.3512512491819837,1.4436367494479676,1.3267982843527777,1.4680897142771736,наблюдение
Омская область,1996,1.35280083787663,1.3053026029541566,1.3977581920496793,1.2808310867323758,1.4222297082714601,наблюдение
Омская область,1997,1.2835947007077049,1.2427193277362116,1.3359740856936821,1.2180362842940604,1.3606571291358334,наблюдение
Омская область,1998,1.2148918227357144,1.162766345626193,1.2574497078696054,1.1377051734705703,1.282510880025228,наблюдение
Омская область,1999,1.1263660672385751,1.0843049763798656,1.1791445935932525,1.059202446031949,1.2042471239411692,наблюдение
Омская область,2000,1.1001191099856473,1.0481943729746297,1.1436152975798348,1.0229379798542417,1.1688716907002228,наблюдение
Омская область,2001,1.1337285681578997,1.089722060232838,1.1864628060210438,1.0641163315470652,1.2120685347068165,наблюдение
Омская область,2002,1.2336934187654105,1.1863854914630856,1.2833637291614097,1.1607169024658068,1.3090323181586885,наблюдение
Омская область,2003,1.3125172435736625,1.2593402443438904,1.3563473875941394,1.2336640045091691,1.3820236274288606,наблюдение
Омская область,2004,1.3090567436529186,1.2601892350638981,1.357238397060616,1.2345018735387967,1.3829257585857175,наблюдение
Омская область,2005,1.2812702910204967,1.23420480673359,1.3312547015499316,1.2085172512428508,1.3569422570406708,наблюдение
Омская область,2006,1.307359790019472,1.2633063949647259,1.3603636991987376,1.2376168783195935,1.3860532158438699,наблюдение
Омская область,2007,1.4112721251587685,1.3594391600608067,1.4564952520774728,1.3337499642702246,1.4821844478680548,наблюдение
Омская область,2008,1.508688700143113,1.4581639445362835,1.5552212322710417,1.4324744322582401,1.580910744549085,наблюдение
Омская область,2009,1.563001805836593,1.5150065786786824,1.6120564938780073,1.4893190177928934,1.6377440547637963,наблюдение
Омская область,2010,1.6070890915126903,1.5594625704424634,1.6565117625285728,1.533775200953181,1.682199132017855,наблюдение
Омская область,2011,1.684233392639281,1.6400063404244836,1.7370134069620595,1.6143301208943803,1.7626896264921628,наблюдение
Омская область,2012,1.8124005208106844,1.7556880805322617,1.8526660860811133,1.7300195529812368,1.8783346136321382,наблюдение
Омская область,2013,1.9062733596838044,1.8628923715585974,1.9596331806385894,1.8372866261205008,1.985238926076686,наблюдение
Омская область,2014,1.965969758920906,1.917372180575892,2.012791958061534,1.8921160910797117,2.038048047557714,наблюдение
Омская область,2015,1.939375474720814,1.891317792635577,1.986153912589868,1.8662161879562276,2.0112555172692175,наблюдение
Омская область,2016,1.8382385739120553,1.7886458613615117,1.8833272537256773,1.7635852106014305,1.9083879044857586,наблюдение
Омская область,2017,1.6987431589397373,1.6580703636523284,1.7513253044411707,1.633387271817636,1.776008396275863,наблюдение
Омская область,2018,1.6148033006461788,1.5621878527618474,1.6546434428762204,1.5377163362703932,1.6791149593676746,наблюдение
Омская область,2019,1.568227034936295,1.5243686361870852,1.6167537989571383,1.4999157606876556,1.6412066744565679,наблюдение
Омская область,2020,1.5609413879284975,1.5184186448830714,1.6108552090663344,1.4939521642513889,1.635321689698017,наблюдение
Омская область,2021,1.5566466329598256,1.5090571903712506,1.601640769534221,1.4845517972249658,1.6261461626805058,наблюдение
Омская область,2022,1.526174039713473,1.4800269158699408,1.5727355305147017,1.4554884278307363,1.5972740185539063,наблюдение
Омская область,2023,1.4807765959783201,1.4314649356530946,1.5250682313547173,1.4066896398426079,1.549843527165204,наблюдение
Омская область,2024,1.431023926488351,1.3809517152826638,1.4818104646899268,1.354256016878987,1.5085061630936036,наблюдение
Омская область,2025,1.4288384909749292,1.368092129220115,1.4895278494912145,1.3359500356204783,1.5216699430908511,прогноз
Омская область,2026,1.4902898609112925,1.4269204669525128,1.57529097043172,1.3876491668802813,1.6145622705039515,прогноз
