region_code,region_name,indicator_key,source_file,indicator_code,z_score,spatial_lag_z,local_moran_I,p_value,cluster_type
77,Москва,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.2666444401023368,-0.30717201506125125,-0.0819057099711139,0.6,NS
78,Санкт-Петербург,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.507521489237012,-1.2252783433229921,0.6218550895331438,0.22,NS
79,Еврейская автономная область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.06824010645255402,-0.023181498268424732,-0.0015819079095670003,0.98,NS
83,Ненецкий автономный округ,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.0330298073377735,0.6430291318791314,0.6642682602176748,0.12,NS
86,Ханты-Мансийский автономный округ - Югра,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.7918323821164683,0.6141762140771204,0.48632461463196025,0.1,NS
87,Чукотский автономный округ,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.4804121283127742,-0.003730093008641841,-0.005522074929728067,0.96,NS
89,Ямало-Ненецкий автономный округ,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,2.46076295340582,0.5759217837328812,1.4172069894692725,0.04,HH
91,Республика Крым,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.38335287166103277,-0.2164521865300369,-0.08297756728359916,0.64,NS
92,Севастополь,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.1533081438617965,0.38335287166103277,-0.4421239888594752,0.34,NS
1,Республика Адыгея,data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,0.03577952218842641,-0.29046466649331343,-0.010392686979751384,0.96,NS
2,Республика Башкортостан,data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,-0.21305079121290083,-0.1540687909992529,0.03282447782360589,0.86,NS
3,Республика Бурятия,data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,0.9039208378330564,1.4107974021690928,1.275249169781386,0.02,HH
4,Республика Алтай,data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,1.6559413405570664,0.6163835867915226,1.0206950630089269,0.02,HH
